"ACD interval","PYOR","Incidence / 1000 p.a scaled for freq of surveillance","PfPR2-10","Survey years"
7,750,0,0.01,"1999-2000"
14,4000,1.5,0.01,"2004-2006"
10,2900,4.48,0.1,"1995-1995"
7,910.2,13.18,0.54,"1999-2001"
14,1020,55,1.18,"1999-2000"
14,1950,14,1.18,"1999-2000"
7,6520,12.58,1.18,"1999-2000"
7,693,27.42,1.18,"1995-1996"
7,6489,32.36,1.65,"2001-2003"
7,956.7,106.62,1.86,"1999-2001"
14,3600,10,2.24,"2004-2006"
7,2163,39.76,2.49,"2001-2001"
14,1194,12.56,2.54,"1994-1996"
14,1188,2.53,2.54,"1994-1996"
14,390,2.56,2.54,"1994-1994"
14,2441,93.4,2.88,"1988-1989"
14,1234,103.74,3.35,"1988-1989"
7,757,93.79,3.49,"1993-1994"
7,12308,2.44,5,"1990-1992"
7,3565,3.09,6.03,"1990-1991"
2,280,124.49,6.08,"1994-1995"
7,18920,1.53,6.16,"1990-1990"
14,15303,141.15,6.32,"1987-1987"
14,506,130.44,6.62,"2003-2003"
7,2889,34.96,6.95,"1990-1990"
7,356,339.89,6.98,"1991-1992"
7,345,376.81,6.98,"1992-1992"
14,2000,67,7.39,"2004-2006"
14,2360,380.48,7.82,"1988-1989"
7,2407,95.97,8.68,"1991-1994"
14,28225,45.31,11,"1994-1994"
14,67566,34.8,11.7,"1994-1996"
7,12423,15.13,11.79,"1990-1991"
7,2731,120.47,12.35,"1991-1993"
7,242,136.36,12.44,"1989-1989"
7,82.2,145.99,12.44,"1987-1988"
7,242,33.06,12.44,"1989-1990"
14,1476,341.46,13.85,"1987-1988"
14,712,272.48,13.89,"1988-1989"
7,6174,284.1,13.98,"2001-2003"
14,271,214.02,14.15,"2003-2003"
7,2058,300,14.22,"2001-2001"
7,1147,136.01,14.31,"1990-1991"
7,421,49.88,14.53,"1989-1990"
7,67545,118.82,18.31,"1990-1992"
7,2625,66.29,19,"2001-2002"
7,1622,491.37,19.3,"1991-1993"
7,1226,232.46,19.95,"1990-1991"
14,367,228.89,22.54,"2003-2003"
7,793,649.43,23.07,"1998-2000"
7,3870,74,23.34,"1987-1995"
7,4671,88,23.34,"1987-1995"
7,7470,61,23.34,"1987-1995"
7,2745,144,23.34,"1987-1995"
7,545,9.17,23.75,"2003-2003"
7,320,93.75,23.75,"2003-2003"
7,1252,43.13,23.75,"2003-2003"
7,41282,143.04,23.78,"1988-1989"
14,937.3,183.52,32.83,"1998-2000"
14,948.8,423.72,41.52,"1998-2000"
14,377,806.38,44.45,"1988-1989"
7,348,261.49,47.73,"1995-1997"
7,786,363.87,48.35,"1990-1991"
14,1137,160.08,49.66,"1988-1989"
14,960.3,249.93,53.66,"1998-2000"
14,118,847.4,58.38,"1988-1989"
14,698,816.62,65,"1988-1989"
